回數,名次,角色,點數,第一推,評論,支援作品,上回排名,前前回排名
20,104,わかさぎ姫,701,66,158,1,105.0,97.0
20,105,寅丸 星,691,92,159,2,104.0,98.0
20,106,スターサファイア,630,46,152,22,108.0,111.0
20,107,清蘭,599,45,138,4,102.0,116.0
20,108,黒谷 ヤマメ,590,52,123,3,112.0,102.0
20,109,杖刀偶 磨弓,585,48,111,4,107.0,94.0
20,110,孫 美天,582,18,150,0,78.0,
20,111,三頭 慧ノ子,570,14,146,3,71.0,
20,112,幽谷 響子,561,55,127,3,110.0,105.0
20,113,サニーミルク,555,35,139,6,121.0,121.0
20,114,蓬莱人形ジャケットイラストの娘,527,60,126,1,125.0,125.0
20,115,丁礼田舞,524,41,112,1,114.0,103.0
20,116,メルラン・プリズムリバー,513,37,126,1,113.0,109.0
20,117,アリスの人形（上海、蓬莱、大江戸 他）,508,9,130,0,117.0,115.0
20,118,宮出口瑞霊,507,38,164,8,136.0,138.0
20,119,綿月 豊姫,497,59,106,0,115.0,108.0
20,120,夢月,477,21,114,2,134.0,128.0
20,121,易者,464,37,144,1,119.0,104.0
20,122,エタニティラルバ,451,40,103,4,128.0,112.0
20,123,雲居 一輪,429,52,92,0,124.0,114.0
20,124,豪徳寺 ミケ,426,20,101,2,116.0,106.0
20,125,リリカ・プリズムリバー,423,37,96,3,119.0,119.0
20,126,C62サークルカットの娘,420,65,129,3,,
20,127,九十九 弁々,416,30,85,1,123.0,117.0
20,128,名無しの本読み妖怪,408,35,103,1,122.0,118.0
20,129,爾子田里乃,383,20,72,2,126.0,107.0
20,130,カナ・アナベラル,358,27,88,1,130.0,127.0
20,131,レイセン,340,25,85,1,127.0,125.0
20,132,鈴瑚,333,30,80,1,129.0,120.0
20,133,サリエル,310,30,66,1,132.0,129.0
20,134,矢田寺成美,282,21,67,4,131.0,124.0
20,135,夢子,281,11,81,2,133.0,132.0
20,136,九十九 八橋,272,35,72,3,135.0,130.0
20,137,山城 たかね,264,37,59,1,139.0,122.0
20,138,キスメ,242,16,43,0,137.0,131.0
20,139,戎 瓔花,235,16,67,7,143.0,134.0
20,139,影華扇（断善修悪の怪腕 - 茨木童子の腕）,235,8,70,3,151.0,152.0
20,141,駒草 山如,227,11,68,3,109.0,143.0
20,142,明羅,217,58,64,6,155.0,159.0
20,143,玉造 魅須丸,206,11,61,2,140.0,123.0
20,144,エリー,204,21,56,0,154.0,151.0
20,145,北白河 ちゆり,203,13,41,0,142.0,139.0
20,146,くるみ,194,19,49,1,140.0,135.0
20,147,マイ,193,11,48,0,157.0,147.0
20,148,魂魄 妖忌,191,7,54,0,143.0,136.0
20,149,蓬莱人形レーベルイラストの娘,189,2,49,1,158.0,157.0
20,150,エレン,188,17,49,2,146.0,150.0
20,151,抗鬱薬おじさん,185,9,41,0,137.0,133.0
